category_id|content|option_a|option_b|option_c|option_d|correct_answer|explanation
2|My brother ... TV every morning.|watch|watches|is watching|watched|B|Thì hiện tại đơn diễn tả thói quen (every morning). Chủ ngữ số ít dùng động từ thêm s/es.
2|The doctor ... English every morning.|study|studies|is studying|studied|B|Thì hiện tại đơn diễn tả thói quen (every morning). Chủ ngữ số ít dùng động từ thêm s/es.
2|John ... TV every morning.|watch|watches|is watching|watched|B|Thì hiện tại đơn diễn tả thói quen (every morning). Chủ ngữ số ít dùng động từ thêm s/es.
2|He ... English usually.|study|studies|is studying|studied|B|Thì hiện tại đơn diễn tả thói quen (usually). Chủ ngữ số ít dùng động từ thêm s/es.
2|The teacher ... at the factory every morning.|work|works|is working|worked|B|Thì hiện tại đơn diễn tả thói quen (every morning). Chủ ngữ số ít dùng động từ thêm s/es.
2|Mary ... football always.|play|plays|is playing|played|B|Thì hiện tại đơn diễn tả thói quen (always). Chủ ngữ số ít dùng động từ thêm s/es.
2|The teacher ... at the factory every day.|work|works|is working|worked|B|Thì hiện tại đơn diễn tả thói quen (every day). Chủ ngữ số ít dùng động từ thêm s/es.
2|The doctor ... at the factory every day.|work|works|is working|worked|B|Thì hiện tại đơn diễn tả thói quen (every day). Chủ ngữ số ít dùng động từ thêm s/es.
2|The doctor ... English usually.|study|studies|is studying|studied|B|Thì hiện tại đơn diễn tả thói quen (usually). Chủ ngữ số ít dùng động từ thêm s/es.
2|My brother ... football every morning.|play|plays|is playing|played|B|Thì hiện tại đơn diễn tả thói quen (every morning). Chủ ngữ số ít dùng động từ thêm s/es.
2|She ... at the factory often.|work|works|is working|worked|B|Thì hiện tại đơn diễn tả thói quen (often). Chủ ngữ số ít dùng động từ thêm s/es.
2|My brother ... at the factory always.|work|works|is working|worked|B|Thì hiện tại đơn diễn tả thói quen (always). Chủ ngữ số ít dùng động từ thêm s/es.
2|John ... a book often.|read|reads|is reading|read|B|Thì hiện tại đơn diễn tả thói quen (often). Chủ ngữ số ít dùng động từ thêm s/es.
2|She ... English every morning.|study|studies|is studying|studied|B|Thì hiện tại đơn diễn tả thói quen (every morning). Chủ ngữ số ít dùng động từ thêm s/es.
2|He ... at the factory usually.|work|works|is working|worked|B|Thì hiện tại đơn diễn tả thói quen (usually). Chủ ngữ số ít dùng động từ thêm s/es.
2|Mary ... a book often.|read|reads|is reading|read|B|Thì hiện tại đơn diễn tả thói quen (often). Chủ ngữ số ít dùng động từ thêm s/es.
2|She ... TV usually.|watch|watches|is watching|watched|B|Thì hiện tại đơn diễn tả thói quen (usually). Chủ ngữ số ít dùng động từ thêm s/es.
2|John ... English often.|study|studies|is studying|studied|B|Thì hiện tại đơn diễn tả thói quen (often). Chủ ngữ số ít dùng động từ thêm s/es.
2|John ... a book every morning.|read|reads|is reading|read|B|Thì hiện tại đơn diễn tả thói quen (every morning). Chủ ngữ số ít dùng động từ thêm s/es.
2|She ... football always.|play|plays|is playing|played|B|Thì hiện tại đơn diễn tả thói quen (always). Chủ ngữ số ít dùng động từ thêm s/es.
2|The doctor ... TV often.|watch|watches|is watching|watched|B|Thì hiện tại đơn diễn tả thói quen (often). Chủ ngữ số ít dùng động từ thêm s/es.
2|The teacher ... English every morning.|study|studies|is studying|studied|B|Thì hiện tại đơn diễn tả thói quen (every morning). Chủ ngữ số ít dùng động từ thêm s/es.
2|John ... TV every day.|watch|watches|is watching|watched|B|Thì hiện tại đơn diễn tả thói quen (every day). Chủ ngữ số ít dùng động từ thêm s/es.
2|The doctor ... English usually.|study|studies|is studying|studied|B|Thì hiện tại đơn diễn tả thói quen (usually). Chủ ngữ số ít dùng động từ thêm s/es.
2|Mary ... at the factory every morning.|work|works|is working|worked|B|Thì hiện tại đơn diễn tả thói quen (every morning). Chủ ngữ số ít dùng động từ thêm s/es.
2|Mary ... TV often.|watch|watches|is watching|watched|B|Thì hiện tại đơn diễn tả thói quen (often). Chủ ngữ số ít dùng động từ thêm s/es.
2|My brother ... TV usually.|watch|watches|is watching|watched|B|Thì hiện tại đơn diễn tả thói quen (usually). Chủ ngữ số ít dùng động từ thêm s/es.
2|Mary ... TV always.|watch|watches|is watching|watched|B|Thì hiện tại đơn diễn tả thói quen (always). Chủ ngữ số ít dùng động từ thêm s/es.
2|My brother ... TV often.|watch|watches|is watching|watched|B|Thì hiện tại đơn diễn tả thói quen (often). Chủ ngữ số ít dùng động từ thêm s/es.
2|She ... English often.|study|studies|is studying|studied|B|Thì hiện tại đơn diễn tả thói quen (often). Chủ ngữ số ít dùng động từ thêm s/es.
2|He ... a book usually.|read|reads|is reading|read|B|Thì hiện tại đơn diễn tả thói quen (usually). Chủ ngữ số ít dùng động từ thêm s/es.
2|The teacher ... TV often.|watch|watches|is watching|watched|B|Thì hiện tại đơn diễn tả thói quen (often). Chủ ngữ số ít dùng động từ thêm s/es.
2|The teacher ... at the factory always.|work|works|is working|worked|B|Thì hiện tại đơn diễn tả thói quen (always). Chủ ngữ số ít dùng động từ thêm s/es.
2|The teacher ... a book usually.|read|reads|is reading|read|B|Thì hiện tại đơn diễn tả thói quen (usually). Chủ ngữ số ít dùng động từ thêm s/es.
2|He ... at the factory always.|work|works|is working|worked|B|Thì hiện tại đơn diễn tả thói quen (always). Chủ ngữ số ít dùng động từ thêm s/es.
2|The teacher ... at the factory usually.|work|works|is working|worked|B|Thì hiện tại đơn diễn tả thói quen (usually). Chủ ngữ số ít dùng động từ thêm s/es.
2|He ... a book every day.|read|reads|is reading|read|B|Thì hiện tại đơn diễn tả thói quen (every day). Chủ ngữ số ít dùng động từ thêm s/es.
2|He ... football usually.|play|plays|is playing|played|B|Thì hiện tại đơn diễn tả thói quen (usually). Chủ ngữ số ít dùng động từ thêm s/es.
2|John ... TV usually.|watch|watches|is watching|watched|B|Thì hiện tại đơn diễn tả thói quen (usually). Chủ ngữ số ít dùng động từ thêm s/es.
2|The doctor ... football usually.|play|plays|is playing|played|B|Thì hiện tại đơn diễn tả thói quen (usually). Chủ ngữ số ít dùng động từ thêm s/es.
2|John ... TV every morning.|watch|watches|is watching|watched|B|Thì hiện tại đơn diễn tả thói quen (every morning). Chủ ngữ số ít dùng động từ thêm s/es.
2|My brother ... TV every morning.|watch|watches|is watching|watched|B|Thì hiện tại đơn diễn tả thói quen (every morning). Chủ ngữ số ít dùng động từ thêm s/es.
2|The doctor ... a book often.|read|reads|is reading|read|B|Thì hiện tại đơn diễn tả thói quen (often). Chủ ngữ số ít dùng động từ thêm s/es.
2|John ... a book always.|read|reads|is reading|read|B|Thì hiện tại đơn diễn tả thói quen (always). Chủ ngữ số ít dùng động từ thêm s/es.
2|He ... English often.|study|studies|is studying|studied|B|Thì hiện tại đơn diễn tả thói quen (often). Chủ ngữ số ít dùng động từ thêm s/es.
2|The teacher ... at the factory usually.|work|works|is working|worked|B|Thì hiện tại đơn diễn tả thói quen (usually). Chủ ngữ số ít dùng động từ thêm s/es.
2|John ... at the factory often.|work|works|is working|worked|B|Thì hiện tại đơn diễn tả thói quen (often). Chủ ngữ số ít dùng động từ thêm s/es.
2|She ... a book every day.|read|reads|is reading|read|B|Thì hiện tại đơn diễn tả thói quen (every day). Chủ ngữ số ít dùng động từ thêm s/es.
2|Mary ... at the factory always.|work|works|is working|worked|B|Thì hiện tại đơn diễn tả thói quen (always). Chủ ngữ số ít dùng động từ thêm s/es.
2|John ... TV always.|watch|watches|is watching|watched|B|Thì hiện tại đơn diễn tả thói quen (always). Chủ ngữ số ít dùng động từ thêm s/es.
2|Mary ... a book always.|read|reads|is reading|read|B|Thì hiện tại đơn diễn tả thói quen (always). Chủ ngữ số ít dùng động từ thêm s/es.
2|She ... a book always.|read|reads|is reading|read|B|Thì hiện tại đơn diễn tả thói quen (always). Chủ ngữ số ít dùng động từ thêm s/es.
2|My brother ... at the factory often.|work|works|is working|worked|B|Thì hiện tại đơn diễn tả thói quen (often). Chủ ngữ số ít dùng động từ thêm s/es.
2|My brother ... football every morning.|play|plays|is playing|played|B|Thì hiện tại đơn diễn tả thói quen (every morning). Chủ ngữ số ít dùng động từ thêm s/es.
2|My brother ... TV every day.|watch|watches|is watching|watched|B|Thì hiện tại đơn diễn tả thói quen (every day). Chủ ngữ số ít dùng động từ thêm s/es.
2|The teacher ... English every morning.|study|studies|is studying|studied|B|Thì hiện tại đơn diễn tả thói quen (every morning). Chủ ngữ số ít dùng động từ thêm s/es.
2|The teacher ... at the factory every morning.|work|works|is working|worked|B|Thì hiện tại đơn diễn tả thói quen (every morning). Chủ ngữ số ít dùng động từ thêm s/es.
2|She ... TV every day.|watch|watches|is watching|watched|B|Thì hiện tại đơn diễn tả thói quen (every day). Chủ ngữ số ít dùng động từ thêm s/es.
2|She ... TV often.|watch|watches|is watching|watched|B|Thì hiện tại đơn diễn tả thói quen (often). Chủ ngữ số ít dùng động từ thêm s/es.
2|My brother ... at the factory usually.|work|works|is working|worked|B|Thì hiện tại đơn diễn tả thói quen (usually). Chủ ngữ số ít dùng động từ thêm s/es.
2|She ... a book every morning.|read|reads|is reading|read|B|Thì hiện tại đơn diễn tả thói quen (every morning). Chủ ngữ số ít dùng động từ thêm s/es.
2|The teacher ... a book every morning.|read|reads|is reading|read|B|Thì hiện tại đơn diễn tả thói quen (every morning). Chủ ngữ số ít dùng động từ thêm s/es.
2|The teacher ... TV usually.|watch|watches|is watching|watched|B|Thì hiện tại đơn diễn tả thói quen (usually). Chủ ngữ số ít dùng động từ thêm s/es.
2|He ... football often.|play|plays|is playing|played|B|Thì hiện tại đơn diễn tả thói quen (often). Chủ ngữ số ít dùng động từ thêm s/es.
2|My brother ... English every day.|study|studies|is studying|studied|B|Thì hiện tại đơn diễn tả thói quen (every day). Chủ ngữ số ít dùng động từ thêm s/es.
2|The doctor ... TV always.|watch|watches|is watching|watched|B|Thì hiện tại đơn diễn tả thói quen (always). Chủ ngữ số ít dùng động từ thêm s/es.
2|My brother ... a book always.|read|reads|is reading|read|B|Thì hiện tại đơn diễn tả thói quen (always). Chủ ngữ số ít dùng động từ thêm s/es.
2|Mary ... TV always.|watch|watches|is watching|watched|B|Thì hiện tại đơn diễn tả thói quen (always). Chủ ngữ số ít dùng động từ thêm s/es.
